Building, Building Condition (1-100 higher is better), 2022 Learning Environment Assessment (1-6 lower is better), Capacity, 2023 October K-5 Enrollment
Adams ,75.28, 2.52, 480, 317
Alki (2026), 100, 1.00, 500, 276
Arbor Heights, 100, 1.63, 650, 482
B. F. Day ,63.97, 3.44, 480, 345
Bagley ,95.29, 1.50, 503, 357
Bailey Gatzert ,60.33, 3.21, 480, 413
Beacon Hill Int'l ,57.49, 3.17, 398, 294
Broadview-Thomson ,66.77, 3.39, 650, 303
Bryant Main ,75.41, 2.56, 532, 433
Cascadia ,98.93, 1.31, 650, 533
Catharine Blaine ,38.83, 3.17, 523, 455
Cedar Park ,84.66, 3.38, 54, 235
Concord ,78.21, 2.23, 480, 467
Cooper (Pathfinder) ,83.79, 2.52, 558, 271
Dearborn Park ,61.38, 3.69, 480, 317
Decatur ,57.25, 3.18, 236, 188
Dunlap ,80.81, 2.65, 584, 226
E.C. Hughes (Roxhill) ,86.95, 2.29, 480, 314
Emerson ,85.82, 3.25, 506, 358
Fairmount Park ,86.08, 2.46, 532, 385
Frantz Coe ,86.01, 1.33, 640, 339
Gatewood, 73, 3.02, 389, 480
Genesee Hill ,93.38, 1.13, 650, 248
Graham Hill ,58.86, 2.52, 450, 339
Green Lake ,48.1, 3.13, 346, 343
Greenwood ,74.23, 2.54, 372, 392
Hawthorne ,74.17, 3.06, 480, 300
Hazel Wolf ,95.84, 1.59, 650, 473
Highland Park ,81.74, 1.27, 506, 266
James Baldwin, 100, 1.00, 650, 219
John Hay ,82.67, 2.63, 480, 326
John Muir ,70.32, 2.53, 480, 213
John Rogers (2025), 100, 1.00, 500, 418
John Stanford ,70.1, 3.44, 398, 395
Kimball ,100, 1.00, 650, 500
Lafayette ,63.68, 3.56, 480, 297
Laurelhurst ,64.33, 3.75, 320, 343
Lawton ,62.19, 2.79, 480, 283
Leschi ,71.27, 3.04, 532, 59
Louisa Boren ,64.43, 3.47, 650, 370
Lowell ,54.1, 3.44, 610, 565
Loyal Heights ,99.78, 1.46, 650, 215
Madrona ,83.47, 2.38, 532, 326
Magnolia ,90.05, 1.54, 500, 415
Maple ,58.85, 3.54, 532, 475
Martin Luther King ,83.05, 1.52, 480, 228
McDonald ,87.62, 3.42, 346, 252
McGilvra ,59.17, 3.02, 166, 181
Monroe (Salmon Bay) ,41.47, 3.15, 650, 365
Montlake (2025), 100, 1.00, 500, 459
North Beach ,59.55, 3.83, 186, 373
Olympic Hills ,98.36, 1.15, 650, 263
Olympic View ,79.4, 2.73, 450, 304
Queen Anne ,86.12, 1.69, 500, 201
Rainier View ,79.42, 3.92, 292, 202
Rising Star (AAA) ,83.5, 1.59, 650, 300
Sacajawea ,51.07, 4.42, 184, 238
Sand Point ,67.17, 3.77, 132, 210
Sanislo ,50.32, 3.27, 236, 308
Seward (TOPS) ,58.86, 2.92, 532, 194
South Shore ,82.23, 1.14, 650, 173
Stevens ,83.14, 2.33, 373, 341
Thornton Creek, 90, 1.15, 650, 159
Thurgood Marshall ,63.06, 2.63, 558, 419
View Ridge ,49.52, 4.13, 480, 297
Viewlands, 100, 1.00, 650, 297
Webster (Licton Springs), 100, 1.00, 292, 348
Wedgwood ,40.02, 3.71, 346, 265
West Seattle ES ,73.66, 3.58, 500, 381
West Woodland ,67.33, 2.00, 650, 354
Whittier ,79.49, 2.04, 480, 407
Whitworth (Orca) ,59.62, 3.29, 506, 358
Wing Luke ,99.57, 1.00, 500, 277
